名称,ID,关注人数,父话题名称,父话题ID
「根话题」,19776749,91147,None,None
「未归类」话题,19776751,51477,「根话题」,19776749
「根话题」,19776749,91147,None,None
「根话题」,19776749,91147,None,None
「未归类」话题,19776751,51477,「根话题」,19776749
「根话题」,19776749,91147,None,None
「未归类」话题,19776751,51477,「根话题」,19776749
「根话题」,19776749,91149,None,None
「未归类」话题,19776751,51478,「根话题」,19776749
「根话题」,19776749,91149,None,None
「未归类」话题,19776751,51478,「根话题」,19776749
「根话题」,19776749,91149,None,None
「未归类」话题,19776751,51478,「根话题」,19776749
学科,19618774,19036,「根话题」,19776749
实体,19778287,9880,「根话题」,19776749
「形而上」话题,19778298,36905,「根话题」,19776749
产业,19560891,9028,「根话题」,19776749
Marshall ShredMaster,20010846,3,「未归类」话题,19776751
税收征管,19933080,139,「未归类」话题,19776751
SET 协议,20058833,3,「未归类」话题,19776751
电话轰炸,20058841,22,「未归类」话题,19776751
空薰,19961869,None,「未归类」话题,19776751
FDTD,20078505,10,「未归类」话题,19776751
归来的奥特曼,20071211,17,「未归类」话题,19776751
营业状况,19961880,12,「未归类」话题,19776751
生育力,20053074,9,「未归类」话题,19776751
作词,19599380,1594,「未归类」话题,19776751
追爱,19959219,17,「未归类」话题,19776751
中冶置业,20058915,4,「未归类」话题,19776751
文华财经,19685673,115,「未归类」话题,19776751
主妇创业路,19965874,31,「未归类」话题,19776751
商业搜索,19961964,14,「未归类」话题,19776751
阿拉伯伊斯兰美国峰会,20082456,2,「未归类」话题,19776751
DFKI,20004604,5,「未归类」话题,19776751
产培生,20058958,5,「未归类」话题,19776751
Finance and Enterprise Computing,19986498,4,「未归类」话题,19776751
楚乔,20086283,None,「未归类」话题,19776751
马来西亚航空 370 号班机空难,19962010,13494,新闻事件,19800200
公益筹款,19962013,54,「未归类」话题,19776751
铁公鸡,20086285,None,「未归类」话题,19776751
CVTE,19888207,542,「未归类」话题,19776751
行政协议,19962026,5,「未归类」话题,19776751
程序公正,19962027,17,「未归类」话题,19776751
孕妇写真,19962037,45,「未归类」话题,19776751
分手,20011085,61538,恋爱,19564412
wearable,19962060,2,「未归类」话题,19776751
日本间谍,20082550,4,「未归类」话题,19776751
反民谣,20035133,45,「未归类」话题,19776751
奶制品,19623966,702,牛奶,19577461
卡路里,19623975,851,「未归类」话题,19776751
本地生活服务,19624440,823,O2O,19612220
MVC4,19961409,14,「未归类」话题,19776751
大学毕业生看书,20011140,72,「未归类」话题,19776751
惊了个呆,20082601,None,「未归类」话题,19776751
学生干部,19868032,207,「未归类」话题,19776751
EOS 5D Mark II,19596865,276,Canon EOS,19653577
AppExtension,20011162,2,「未归类」话题,19776751
美食 app 欧美文化,20082623,7,「未归类」话题,19776751
190,20011169,10,「未归类」话题,19776751
信号灯,19575072,19,「未归类」话题,19776751
topic model,19912871,68,「未归类」话题,19776751
新闻源,20059120,6,「未归类」话题,19776751
三皈依,20066973,1,「未归类」话题,19776751
按钮,19575089,35,「未归类」话题,19776751
帽子（标签）,20035236,20,「未归类」话题,19776751
气凝胶,20035255,88,「未归类」话题,19776751
驱蛇器,19962206,7,「未归类」话题,19776751
GoogleAdmob,20035280,9,「未归类」话题,19776751
易知难,19624080,164,「未归类」话题,19776751
杂志社招聘,19673225,201,「未归类」话题,19776751
男女对唱（duet）,20082689,3,「未归类」话题,19776751
独立旅行,19998531,43,「未归类」话题,19776751
吃相,19839137,86,「未归类」话题,19776751
Hackathon,19550625,1187,「未归类」话题,19776751
市集,19823660,35,「未归类」话题,19776751
Shanghai Major,20042237,8,「未归类」话题,19776751
水煎包,20059209,11,「未归类」话题,19776751
矿物加工,19863870,165,「未归类」话题,19776751
MEMC,20082741,1,「未归类」话题,19776751
绑定域名,19962278,2,「未归类」话题,19776751
novotel,20082752,None,「未归类」话题,19776751
爱采图,19673318,10,「未归类」话题,19776751
遗作,19575235,12,「未归类」话题,19776751
坏先生图片志（微信公众账号）,19814520,63,「未归类」话题,19776751
舶来词,19676924,10,「未归类」话题,19776751
巴利语,20035391,39,「未归类」话题,19776751
后电商时代,20011363,11,「未归类」话题,19776751
客观事实,19962318,47,「未归类」话题,19776751
索尼水军,20082787,2,「未归类」话题,19776751
知识分享,19722338,124,「未归类」话题,19776751
A 和 B 的比较,19550751,1173,「标签」类话题,19608037
消费纠纷,19863976,17,「未归类」话题,19776751
防蛀,20035439,5,「未归类」话题,19776751
Android 特效,19575295,34,「未归类」话题,19776751
洪榛浩,20046631,66,「未归类」话题,19776751
水生态,20059328,8,「未归类」话题,19776751
Agda,20082824,2,「未归类」话题,19776751
超写实,19864002,286,「未归类」话题,19776751
陕西省省考,19962387,258,「未归类」话题,19776751
LSM (Log Structured Merge),20035475,57,「未归类」话题,19776751
知识框架,19667000,132,「未归类」话题,19776751
女神联盟,19864027,272,「未归类」话题,19776751
索达吉堪布,20051640,16,「未归类」话题,19776751
钳子,19888600,5,「未归类」话题,19776751
跑步环境,20011439,476,「未归类」话题,19776751
智器,19814638,16,「未归类」话题,19776751
推推,19589551,3,「未归类」话题,19776751
高中新生,19656493,51,「未归类」话题,19776751
字如其人,19624292,313,「未归类」话题,19776751
登山杖,19673454,113,「未归类」话题,19776751
投机倒把罪,20067033,6,「未归类」话题,19776751
KOL,20035539,174,「未归类」话题,19776751
草帽海贼团,20082921,3,「未归类」话题,19776751
500强,19624325,608,「未归类」话题,19776751
斋月活动,20082942,5,「未归类」话题,19776751
小农意识,19998887,103,「未归类」话题,19776751
自以为是,19648998,367,「未归类」话题,19776751
魅族耳机,20059464,33,「未归类」话题,19776751
十常侍,20082970,None,「未归类」话题,19776751
酒店运营,19864129,110,「未归类」话题,19776751
祖茂,20082975,None,「未归类」话题,19776751
IFD,20059476,None,「未归类」话题,19776751
看不见的城市,20035604,124,「未归类」话题,19776751
钢琴维修,20035610,90,「未归类」话题,19776751
能源价格,20035622,22,「未归类」话题,19776751
葵花宝典,19768491,68,「未归类」话题,19776751
man,19606582,46,「未归类」话题,19776751
网络营销外包,19962580,57,「未归类」话题,19776751
构想,19575524,89,「未归类」话题,19776751
面点添加剂,19965984,8,「未归类」话题,19776751
验车,19600030,59,「未归类」话题,19776751
神经性痉挛,19962607,15,「未归类」话题,19776751
あの晴れわたる空より高く,20011650,117,「未归类」话题,19776751
领料,19551019,174,「未归类」话题,19776751
分业监管,19962649,2,「未归类」话题,19776751
纳米银离子,20035718,5,「未归类」话题,19776751
performance,19624510,21,「未归类」话题,19776751
丝绸之路好声音,20011691,None,「未归类」话题,19776751
PinaoTiles,20002067,None,「未归类」话题,19776751
废萌,20062457,9,「未归类」话题,19776751
拆迁办,20083125,4,「未归类」话题,19776751
绿皮车,20003800,31,「未归类」话题,19776751
十大关系,20025554,11,「未归类」话题,19776751
windows蓝屏,20083133,None,「未归类」话题,19776751
辣鸡营销,20084953,None,「未归类」话题,19776751
笔记本评测,20083142,1,「未归类」话题,19776751
汉字字母,19962712,4,「未归类」话题,19776751
成人内容,20035783,492890,「标签」类话题,19608037
女初中生,20082457,2,「未归类」话题,19776751
歌曲名字,19962729,6,「未归类」话题,19776751
饕餮盛宴,20046335,1,「未归类」话题,19776751
各国见闻,19814928,121,「未归类」话题,19776751
大家,19795536,23,「未归类」话题,19776751
谜题,19624590,63,「未归类」话题,19776751
12factor,20054176,None,「未归类」话题,19776751
坐台,20062961,11,「未归类」话题,19776751
滑板车,19888957,187,「未归类」话题,19776751
表单,19584668,70,「未归类」话题,19776751
军事对峙,20086401,None,「未归类」话题,19776751
澳大利亚大一快捷课程(Diploma),20083207,1,「未归类」话题,19776751
牛津高阶双解,20059719,1,「未归类」话题,19776751
美丽志,19839677,16,「未归类」话题,19776751
诋毁,20035863,25,「未归类」话题,19776751
烟大海底隧道,20011818,134,大连,19567741
马主,20083255,None,「未归类」话题,19776751
ECFA,19962827,9,「未归类」话题,19776751
故居,19551228,4,「未归类」话题,19776751
短物流,19575751,36,「未归类」话题,19776751
光电工程师,19600240,337,「未归类」话题,19776751
刚体,19815052,33,「未归类」话题,19776751
Assistive Touch,20011872,3,「未归类」话题,19776751
天津自贸区,20035920,55,「未归类」话题,19776751
乔治·奥威尔（作家）,19575777,985,英国作家,19611538
绿健园锌硒宝,19962874,6,「未归类」话题,19776751
垂直马拉松,20083323,None,「未归类」话题,19776751
飙戏,20084962,None,「未归类」话题,19776751
汽车服务定制,19962895,11,「未归类」话题,19776751
井水,19675945,12,「未归类」话题,19776751
IT营销,19795708,63,「未归类」话题,19776751
Geekcook,19649385,11,「未归类」话题,19776751
成功的条件,19600306,113,「未归类」话题,19776751
专柜,19673910,50,「未归类」话题,19776751
餐具安全,19889134,75,「未归类」话题,19776751
GNS3,20011940,39,「未归类」话题,19776751
教育xin,20083383,None,「未归类」话题,19776751
雅礼,20083040,16,「未归类」话题,19776751
社会达尔文主义,20036009,970,「未归类」话题,19776751
千斗五十铃,20011965,6,「未归类」话题,19776751
起泡水,20059899,None,「未归类」话题,19776751
传统车企,20082490,None,「未归类」话题,19776751
分享精神,19815164,32,「未归类」话题,19776751
师德丧失,20059906,4,「未归类」话题,19776751
消费数码,20011991,9,「未归类」话题,19776751
奇异值分解,19940797,130,「未归类」话题,19776751
儿化音,19575895,73,「未归类」话题,19776751
沙滩,19570217,63,「未归类」话题,19776751
乳滑 微博 封号 玻璃心 小粉红,20083445,13,「未归类」话题,19776751
脸颊凹陷,19963018,55,「未归类」话题,19776751
安妮斯顿,20083469,1,「未归类」话题,19776751
信息泄露 隐私 个人信息,20059955,20,「未归类」话题,19776751
解体论,20036093,33,「未归类」话题,19776751
动态视力,20059976,35,「未归类」话题,19776751
夏语遥,20011230,4,「未归类」话题,19776751
嚼烟,20059992,16,「未归类」话题,19776751
江民,19575963,123,「未归类」话题,19776751
私货贩卖,20048583,4,「未归类」话题,19776751
ULED,19968514,10,「未归类」话题,19776751
人人网陈一舟,20012074,4,「未归类」话题,19776751
公案,19580723,29,「未归类」话题,19776751
阻尼指数,20060017,7,「未归类」话题,19776751
爱国歌曲,20083553,None,「未归类」话题,19776751
世界和平,19896635,86,「未归类」话题,19776751
HKPFS（香港博士研究生奖学金计划）,20083563,13,「未归类」话题,19776751
忏悔,19723071,114,「未归类」话题,19776751
拍摄手法,19938414,153,「未归类」话题,19776751
起诉,19566775,79,「未归类」话题,19776751
湖南师大附中(长沙),20036211,31,「未归类」话题,19776751
真爱如血,19674112,235,「未归类」话题,19776751
涨油价,19573161,28,「未归类」话题,19776751
栖霞,20060060,5,「未归类」话题,19776751
学习理论,20083599,2,「未归类」话题,19776751
校友录,19576042,7,「未归类」话题,19776751
探索式学习,20083608,5,「未归类」话题,19776751
国内网站,19576051,84,「未归类」话题,19776751
team building,19600566,29,「未归类」话题,19776751
作呕,20083631,None,「未归类」话题,19776751
超级英雄,19576076,20801,美国漫画,19647828
高龄少子化,20012182,37,「未归类」话题,19776751
OH卡,19963180,31,「未归类」话题,19776751
电动剃须刀,19723137,397,小家电,19624056
美利金融,20036289,76,「未归类」话题,19776751
图床,19600593,157,「未归类」话题,19776751
电汇,19649669,10,「未归类」话题,19776751
校验码,19815419,9,「未归类」话题,19776751
上海买房,20083684,21,「未归类」话题,19776751
中国印钞造币,20060180,11,「未归类」话题,19776751
怪蜀黍,19576135,18,「未归类」话题,19776751
浮动,19649695,1,「未归类」话题,19776751
微信登录,19913941,50,「未归类」话题,19776751
矩阵论,20036331,185,「未归类」话题,19776751
krpano,20060197,30,「未归类」话题,19776751
UTS: INSREACH,20083700,1,「未归类」话题,19776751
亲子游,19818416,645,「未归类」话题,19776751
收拾,19674239,159,「未归类」话题,19776751
跨境贸易,19963266,287,「未归类」话题,19776751
服装打版,19963268,1017,「未归类」话题,19776751
減壓方法,19913974,69,「未归类」话题,19776751
汽配平台,19870531,69,「未归类」话题,19776751
婚后,19600679,830,「未归类」话题,19776751
物体识别,19617234,117,「未归类」话题,19776751
